,model,fit_seconds,predict_seconds
0,Logistic Regression,0.013678550720214844,0.012783050537109375
1,Naive Bayes,0.002631664276123047,0.00738215446472168
2,Support Vector Machine,0.0055773258209228516,0.00873875617980957
3,Kernel SVM,0.0028769969940185547,0.018393516540527344
4,Decision Tree,0.0050318241119384766,0.00856637954711914
5,Random Forest,0.575432538986206,0.12225198745727539
6,K Nearest Neighbours,0.010500431060791016,0.12139296531677246
